# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_fdr_bh	study_items
GO:1902257	BP	p	negative regulation of apoptotic process involved in outflow tract morphogenesis	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:0106077	BP	p	histone succinylation	0/1277	3/43182	1.0	8	0	1.0	1.0	
GO:0071027	BP	p	nuclear RNA surveillance	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:2001013	BP	p	epithelial cell proliferation involved in renal tubule morphogenesis	0/1277	4/43182	1.0	4	0	1.0	1.0	
GO:0061017	BP	p	hepatoblast differentiation	0/1277	2/43182	1.0	5	0	1.0	1.0	
GO:0012502	BP	p	induction of programmed cell death	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0016973	BP	p	poly(A)+ mRNA export from nucleus	0/1277	23/43182	1.0	10	0	1.0	1.0	
GO:2001153	BP	p	positive regulation of renal water transport	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0032203	BP	p	telomere formation via telomerase	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0060710	BP	p	chorio-allantoic fusion	0/1277	7/43182	1.0	4	0	1.0	1.0	
GO:0046370	BP	p	fructose biosynthetic process	0/1277	2/43182	1.0	7	0	1.0	1.0	
GO:0098963	BP	p	dendritic transport of messenger ribonucleoprotein complex	0/1277	2/43182	1.0	10	0	1.0	1.0	
GO:0006369	BP	p	termination of RNA polymerase II transcription	0/1277	8/43182	1.0	9	0	1.0	1.0	
GO:0061952	BP	p	midbody abscission	0/1277	17/43182	1.0	5	0	1.0	1.0	
GO:0060712	BP	p	spongiotrophoblast layer development	0/1277	1/43182	1.0	4	0	1.0	1.0	
GO:0006542	BP	p	glutamine biosynthetic process	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0035456	BP	p	response to interferon-beta	0/1277	10/43182	1.0	5	0	1.0	1.0	
GO:0002319	BP	p	memory B cell differentiation	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:1990737	BP	p	response to manganese-induced endoplasmic reticulum stress	0/1277	3/43182	1.0	7	0	1.0	1.0	
GO:0060179	BP	p	male mating behavior	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:0002419	BP	p	T cell mediated cytotoxicity directed against tumor cell target	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0042137	BP	p	sequestering of neurotransmitter	0/1277	1/43182	1.0	3	0	1.0	1.0	
GO:0031443	BP	p	fast-twitch skeletal muscle fiber contraction	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0042053	BP	p	regulation of dopamine metabolic process	0/1277	9/43182	1.0	7	0	1.0	1.0	
GO:1905199	BP	p	manchette disassembly	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:2000730	BP	p	regulation of termination of RNA polymerase I transcription	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0106402	BP	p	Lewis x epitope biosynthetic process	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0002819	BP	p	regulation of adaptive immune response	0/1277	9/43182	1.0	5	0	1.0	1.0	
GO:0005993	BP	p	trehalose catabolic process	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0046037	BP	p	GMP metabolic process	0/1277	11/43182	1.0	10	0	1.0	1.0	
GO:0070370	BP	p	cellular heat acclimation	0/1277	5/43182	1.0	6	0	1.0	1.0	
GO:0099161	BP	p	regulation of presynaptic dense core granule exocytosis	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0061889	BP	p	negative regulation of astrocyte activation	0/1277	3/43182	1.0	11	0	1.0	1.0	
GO:1905775	BP	p	negative regulation of DNA helicase activity	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0010902	BP	p	positive regulation of very-low-density lipoprotein particle remodeling	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0099610	BP	p	action potential initiation	0/1277	3/43182	1.0	5	0	1.0	1.0	
GO:0060468	BP	p	prevention of polyspermy	0/1277	4/43182	1.0	6	0	1.0	1.0	
GO:0072739	BP	p	response to anisomycin	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:1904442	BP	p	negative regulation of thyroid gland epithelial cell proliferation	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0043417	BP	p	negative regulation of skeletal muscle tissue regeneration	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0085029	BP	p	extracellular matrix assembly	0/1277	14/43182	1.0	6	0	1.0	1.0	
GO:1901881	BP	p	positive regulation of protein depolymerization	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0046272	BP	p	stilbene catabolic process	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:2000308	BP	p	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0030862	BP	p	positive regulation of polarized epithelial cell differentiation	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0019086	BP	p	late viral transcription	0/1277	4/43182	1.0	3	0	1.0	1.0	
GO:1990297	BP	p	renal amino acid absorption	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:1904580	BP	p	regulation of intracellular mRNA localization	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0060443	BP	p	mammary gland morphogenesis	0/1277	2/43182	1.0	5	0	1.0	1.0	
GO:0033864	BP	p	positive regulation of NAD(P)H oxidase activity	0/1277	4/43182	1.0	6	0	1.0	1.0	
GO:1900235	BP	p	negative regulation of Kit signaling pathway	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0006193	BP	p	ITP catabolic process	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0002478	BP	p	antigen processing and presentation of exogenous peptide antigen	0/1277	1/43182	1.0	4	0	1.0	1.0	
GO:0072262	BP	p	metanephric glomerular mesangial cell proliferation involved in metanephros development	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0019310	BP	p	inositol catabolic process	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0006428	BP	p	isoleucyl-tRNA aminoacylation	0/1277	2/43182	1.0	11	0	1.0	1.0	
GO:0006600	BP	p	creatine metabolic process	0/1277	4/43182	1.0	7	0	1.0	1.0	
GO:0048006	BP	p	antigen processing and presentation, endogenous lipid antigen via MHC class Ib	0/1277	5/43182	1.0	5	0	1.0	1.0	
GO:0008050	BP	p	female courtship behavior	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0006720	BP	p	isoprenoid metabolic process	0/1277	3/43182	1.0	5	0	1.0	1.0	
GO:0051081	BP	p	nuclear membrane disassembly	0/1277	4/43182	1.0	6	0	1.0	1.0	
GO:1905415	BP	p	positive regulation of dense core granule exocytosis	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0035722	BP	p	interleukin-12-mediated signaling pathway	0/1277	9/43182	1.0	7	0	1.0	1.0	
GO:0048685	BP	p	negative regulation of collateral sprouting of intact axon in response to injury	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0044650	BP	p	adhesion of symbiont to host cell	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0018874	BP	p	benzoate metabolic process	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0002762	BP	p	negative regulation of myeloid leukocyte differentiation	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:1901341	BP	p	positive regulation of store-operated calcium channel activity	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0019249	BP	p	lactate biosynthetic process	0/1277	3/43182	1.0	8	0	1.0	1.0	
GO:0000028	BP	p	ribosomal small subunit assembly	0/1277	13/43182	1.0	7	0	1.0	1.0	
GO:0032823	BP	p	regulation of natural killer cell differentiation	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:2000727	BP	p	positive regulation of cardiac muscle cell differentiation	0/1277	6/43182	1.0	8	0	1.0	1.0	
GO:1904518	BP	p	protein localization to cytoplasmic microtubule plus-end	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0030719	BP	p	P granule organization	0/1277	6/43182	1.0	5	0	1.0	1.0	
GO:0019532	BP	p	oxalate transport	0/1277	9/43182	1.0	8	0	1.0	1.0	
GO:0071275	BP	p	cellular response to aluminum ion	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0044088	BP	p	regulation of vacuole organization	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0010522	BP	p	regulation of calcium ion transport into cytosol	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0051984	BP	p	positive regulation of chromosome segregation	0/1277	13/43182	1.0	7	0	1.0	1.0	
GO:0080170	BP	p	hydrogen peroxide transmembrane transport	0/1277	2/43182	1.0	5	0	1.0	1.0	
GO:0070189	BP	p	kynurenine metabolic process	0/1277	4/43182	1.0	8	0	1.0	1.0	
GO:0071765	BP	p	nuclear inner membrane organization	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0021650	BP	p	vestibulocochlear nerve formation	0/1277	5/43182	1.0	4	0	1.0	1.0	
GO:0090244	BP	p	Wnt signaling pathway involved in somitogenesis	0/1277	4/43182	1.0	7	0	1.0	1.0	
GO:0043266	BP	p	regulation of potassium ion transport	0/1277	5/43182	1.0	7	0	1.0	1.0	
GO:0086030	BP	p	adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0022613	BP	p	ribonucleoprotein complex biogenesis	0/1277	1/43182	1.0	4	0	1.0	1.0	
GO:0120158	BP	p	positive regulation of collagen catabolic process	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0090138	BP	p	regulation of actin cytoskeleton organization by cell-cell adhesion	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0036066	BP	p	protein O-linked fucosylation	0/1277	5/43182	1.0	8	0	1.0	1.0	
GO:0055078	BP	p	sodium ion homeostasis	0/1277	17/43182	1.0	5	0	1.0	1.0	
GO:0055014	BP	p	atrial cardiac muscle cell development	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0043310	BP	p	negative regulation of eosinophil degranulation	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0051666	BP	p	actin cortical patch localization	0/1277	1/43182	1.0	3	0	1.0	1.0	
GO:0044871	BP	p	negative regulation by host of viral glycoprotein metabolic process	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0010836	BP	p	negative regulation of protein ADP-ribosylation	0/1277	4/43182	1.0	6	0	1.0	1.0	
GO:0060428	BP	p	lung epithelium development	0/1277	7/43182	1.0	5	0	1.0	1.0	
GO:0009247	BP	p	glycolipid biosynthetic process	0/1277	9/43182	1.0	7	0	1.0	1.0	
GO:0071812	BP	p	positive regulation of fever generation by positive regulation of prostaglandin secretion	0/1277	2/43182	1.0	10	0	1.0	1.0	
GO:0010935	BP	p	regulation of macrophage cytokine production	0/1277	2/43182	1.0	10	0	1.0	1.0	
GO:0140541	BP	p	piRNA transcription	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:1903751	BP	p	negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide	0/1277	4/43182	1.0	10	0	1.0	1.0	
GO:0001781	BP	p	neutrophil apoptotic process	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:1905604	BP	p	negative regulation of blood-brain barrier permeability	0/1277	3/43182	1.0	7	0	1.0	1.0	
GO:0016321	BP	p	female meiosis chromosome segregation	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:0045472	BP	p	response to ether	0/1277	3/43182	1.0	4	0	1.0	1.0	
GO:0021852	BP	p	pyramidal neuron migration to cerebral cortex	0/1277	3/43182	1.0	9	0	1.0	1.0	
GO:0009220	BP	p	pyrimidine ribonucleotide biosynthetic process	0/1277	3/43182	1.0	10	0	1.0	1.0	
GO:0035129	BP	p	post-embryonic hindlimb morphogenesis	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0060035	BP	p	notochord cell development	0/1277	1/43182	1.0	4	0	1.0	1.0	
GO:2000062	BP	p	negative regulation of ureter smooth muscle cell differentiation	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:1901894	BP	p	regulation of ATPase-coupled calcium transmembrane transporter activity	0/1277	3/43182	1.0	10	0	1.0	1.0	
GO:1905899	BP	p	regulation of smooth muscle tissue development	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0021759	BP	p	globus pallidus development	0/1277	4/43182	1.0	4	0	1.0	1.0	
GO:0002792	BP	p	negative regulation of peptide secretion	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0006533	BP	p	aspartate catabolic process	0/1277	3/43182	1.0	10	0	1.0	1.0	
GO:0042407	BP	p	cristae formation	0/1277	14/43182	1.0	8	0	1.0	1.0	
GO:0032077	BP	p	positive regulation of deoxyribonuclease activity	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0008078	BP	p	mesodermal cell migration	0/1277	3/43182	1.0	5	0	1.0	1.0	
GO:0098727	BP	p	maintenance of cell number	0/1277	1/43182	1.0	2	0	1.0	1.0	
GO:0097298	BP	p	regulation of nucleus size	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0090668	BP	p	endothelial cell chemotaxis to vascular endothelial growth factor	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0048713	BP	p	regulation of oligodendrocyte differentiation	0/1277	6/43182	1.0	6	0	1.0	1.0	
GO:0016104	BP	p	triterpenoid biosynthetic process	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0002735	BP	p	positive regulation of myeloid dendritic cell cytokine production	0/1277	6/43182	1.0	12	0	1.0	1.0	
GO:0060594	BP	p	mammary gland specification	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0009582	BP	p	detection of abiotic stimulus	0/1277	4/43182	1.0	3	0	1.0	1.0	
GO:0071506	BP	p	cellular response to mycophenolic acid	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0035128	BP	p	post-embryonic forelimb morphogenesis	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0008608	BP	p	attachment of spindle microtubules to kinetochore	0/1277	18/43182	1.0	3	0	1.0	1.0	
GO:0032984	BP	p	protein-containing complex disassembly	0/1277	2/43182	1.0	5	0	1.0	1.0	
GO:0002451	BP	p	peripheral B cell tolerance induction	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0071625	BP	p	vocalization behavior	0/1277	16/43182	1.0	3	0	1.0	1.0	
GO:0048549	BP	p	positive regulation of pinocytosis	0/1277	5/43182	1.0	8	0	1.0	1.0	
GO:2000813	BP	p	negative regulation of barbed-end actin filament capping	0/1277	4/43182	1.0	12	0	1.0	1.0	
GO:0042219	BP	p	cellular modified amino acid catabolic process	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0035304	BP	p	regulation of protein dephosphorylation	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0090235	BP	p	regulation of metaphase plate congression	0/1277	5/43182	1.0	4	0	1.0	1.0	
GO:0003339	BP	p	regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:1902231	BP	p	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	0/1277	6/43182	1.0	9	0	1.0	1.0	
GO:0043418	BP	p	homocysteine catabolic process	0/1277	3/43182	1.0	9	0	1.0	1.0	
GO:0060695	BP	p	negative regulation of cholesterol transporter activity	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0008064	BP	p	regulation of actin polymerization or depolymerization	0/1277	6/43182	1.0	9	0	1.0	1.0	
GO:0060689	BP	p	cell differentiation involved in salivary gland development	0/1277	2/43182	1.0	4	0	1.0	1.0	
GO:0036113	BP	p	very long-chain fatty-acyl-CoA catabolic process	0/1277	1/43182	1.0	13	0	1.0	1.0	
GO:1990953	BP	p	intramanchette transport	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:0000320	BP	p	re-entry into mitotic cell cycle	0/1277	3/43182	1.0	3	0	1.0	1.0	
GO:0097695	BP	p	establishment of protein-containing complex localization to telomere	0/1277	2/43182	1.0	3	0	1.0	1.0	
GO:0046415	BP	p	urate metabolic process	0/1277	9/43182	1.0	5	0	1.0	1.0	
GO:0009256	BP	p	10-formyltetrahydrofolate metabolic process	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0043507	BP	p	positive regulation of JUN kinase activity	0/1277	27/43182	1.0	13	0	1.0	1.0	
GO:0071288	BP	p	cellular response to mercury ion	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:0010637	BP	p	negative regulation of mitochondrial fusion	0/1277	8/43182	1.0	8	0	1.0	1.0	
GO:0009056	BP	p	catabolic process	0/1277	3/43182	1.0	2	0	1.0	1.0	
GO:0001841	BP	p	neural tube formation	0/1277	6/43182	1.0	6	0	1.0	1.0	
GO:0045337	BP	p	farnesyl diphosphate biosynthetic process	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0097212	BP	p	lysosomal membrane organization	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0001768	BP	p	establishment of T cell polarity	0/1277	9/43182	1.0	5	0	1.0	1.0	
GO:1900082	BP	p	negative regulation of arginine catabolic process	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0048392	BP	p	intermediate mesodermal cell differentiation	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:1901291	BP	p	negative regulation of double-strand break repair via single-strand annealing	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0070213	BP	p	protein auto-ADP-ribosylation	0/1277	11/43182	1.0	7	0	1.0	1.0	
GO:2000872	BP	p	positive regulation of progesterone secretion	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0032825	BP	p	positive regulation of natural killer cell differentiation	0/1277	8/43182	1.0	10	0	1.0	1.0	
GO:1900142	BP	p	negative regulation of oligodendrocyte apoptotic process	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0060523	BP	p	prostate epithelial cord elongation	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:1904729	BP	p	regulation of intestinal lipid absorption	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0055075	BP	p	potassium ion homeostasis	0/1277	20/43182	1.0	5	0	1.0	1.0	
GO:0048148	BP	p	behavioral response to cocaine	0/1277	14/43182	1.0	4	0	1.0	1.0	
GO:0060831	BP	p	smoothened signaling pathway involved in dorsal/ventral neural tube patterning	0/1277	4/43182	1.0	7	0	1.0	1.0	
GO:1900036	BP	p	positive regulation of cellular response to heat	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:1902998	BP	p	positive regulation of neurofibrillary tangle assembly	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:2000278	BP	p	regulation of DNA biosynthetic process	0/1277	9/43182	1.0	7	0	1.0	1.0	
GO:0009451	BP	p	RNA modification	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0019682	BP	p	glyceraldehyde-3-phosphate metabolic process	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0001556	BP	p	oocyte maturation	0/1277	20/43182	1.0	5	0	1.0	1.0	
GO:0032764	BP	p	negative regulation of mast cell cytokine production	0/1277	2/43182	1.0	11	0	1.0	1.0	
GO:0045763	BP	p	negative regulation of cellular amino acid metabolic process	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0031247	BP	p	actin rod assembly	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0048525	BP	p	negative regulation of viral process	0/1277	5/43182	1.0	4	0	1.0	1.0	
GO:0090177	BP	p	establishment of planar polarity involved in neural tube closure	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0006285	BP	p	base-excision repair, AP site formation	0/1277	5/43182	1.0	7	0	1.0	1.0	
GO:0046713	BP	p	borate transport	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0035711	BP	p	T-helper 1 cell activation	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0061163	BP	p	endoplasmic reticulum polarization	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:1903580	BP	p	positive regulation of ATP metabolic process	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:0047484	BP	p	regulation of response to osmotic stress	0/1277	3/43182	1.0	5	0	1.0	1.0	
GO:0060370	BP	p	susceptibility to T cell mediated cytotoxicity	0/1277	2/43182	1.0	10	0	1.0	1.0	
GO:0072715	BP	p	cellular response to selenite ion	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:0070668	BP	p	positive regulation of mast cell proliferation	0/1277	4/43182	1.0	7	0	1.0	1.0	
GO:0002946	BP	p	tRNA C5-cytosine methylation	0/1277	1/43182	1.0	12	0	1.0	1.0	
GO:0045839	BP	p	negative regulation of mitotic nuclear division	0/1277	8/43182	1.0	8	0	1.0	1.0	
GO:0086052	BP	p	membrane repolarization during SA node cell action potential	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0070343	BP	p	white fat cell proliferation	0/1277	2/43182	1.0	4	0	1.0	1.0	
GO:0051171	BP	p	regulation of nitrogen compound metabolic process	0/1277	1/43182	1.0	4	0	1.0	1.0	
GO:0098924	BP	p	retrograde trans-synaptic signaling by nitric oxide	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0014031	BP	p	mesenchymal cell development	0/1277	6/43182	1.0	4	0	1.0	1.0	
GO:0010640	BP	p	regulation of platelet-derived growth factor receptor signaling pathway	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0002891	BP	p	positive regulation of immunoglobulin mediated immune response	0/1277	3/43182	1.0	9	0	1.0	1.0	
GO:0071248	BP	p	cellular response to metal ion	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:2001303	BP	p	lipoxin A4 biosynthetic process	0/1277	3/43182	1.0	10	0	1.0	1.0	
GO:0006999	BP	p	nuclear pore organization	0/1277	8/43182	1.0	6	0	1.0	1.0	
GO:0060854	BP	p	branching involved in lymph vessel morphogenesis	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0033314	BP	p	mitotic DNA replication checkpoint signaling	0/1277	11/43182	1.0	11	0	1.0	1.0	
GO:0120072	BP	p	positive regulation of pyloric antrum smooth muscle contraction	0/1277	1/43182	1.0	10	0	1.0	1.0	
GO:1901307	BP	p	positive regulation of spermidine biosynthetic process	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0051972	BP	p	regulation of telomerase activity	0/1277	4/43182	1.0	8	0	1.0	1.0	
GO:1902889	BP	p	protein localization to spindle microtubule	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0060263	BP	p	regulation of respiratory burst	0/1277	4/43182	1.0	4	0	1.0	1.0	
GO:0046587	BP	p	positive regulation of calcium-dependent cell-cell adhesion	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0034514	BP	p	mitochondrial unfolded protein response	0/1277	2/43182	1.0	7	0	1.0	1.0	
GO:1990822	BP	p	basic amino acid transmembrane transport	0/1277	4/43182	1.0	9	0	1.0	1.0	
GO:0008626	BP	p	granzyme-mediated apoptotic signaling pathway	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:0060435	BP	p	bronchiole development	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:0070407	BP	p	oxidation-dependent protein catabolic process	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0031017	BP	p	exocrine pancreas development	0/1277	6/43182	1.0	5	0	1.0	1.0	
GO:0042471	BP	p	ear morphogenesis	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:0003156	BP	p	regulation of animal organ formation	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0060156	BP	p	milk ejection reflex	0/1277	1/43182	1.0	6	0	1.0	1.0	
GO:1904612	BP	p	response to 2,3,7,8-tetrachlorodibenzodioxine	0/1277	2/43182	1.0	5	0	1.0	1.0	
GO:0098977	BP	p	inhibitory chemical synaptic transmission	0/1277	3/43182	1.0	9	0	1.0	1.0	
GO:0002277	BP	p	myeloid dendritic cell activation involved in immune response	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:1905386	BP	p	positive regulation of protein localization to presynapse	0/1277	2/43182	1.0	8	0	1.0	1.0	
GO:0071642	BP	p	positive regulation of macrophage inflammatory protein 1 alpha production	0/1277	2/43182	1.0	11	0	1.0	1.0	
GO:0060010	BP	p	Sertoli cell fate commitment	0/1277	1/43182	1.0	5	0	1.0	1.0	
GO:1990641	BP	p	response to iron ion starvation	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:1903181	BP	p	positive regulation of dopamine biosynthetic process	0/1277	2/43182	1.0	9	0	1.0	1.0	
GO:1901256	BP	p	regulation of macrophage colony-stimulating factor production	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0008594	BP	p	photoreceptor cell morphogenesis	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:2000156	BP	p	regulation of retrograde vesicle-mediated transport, Golgi to ER	0/1277	2/43182	1.0	6	0	1.0	1.0	
GO:0035089	BP	p	establishment of apical/basal cell polarity	0/1277	5/43182	1.0	5	0	1.0	1.0	
GO:2000405	BP	p	negative regulation of T cell migration	0/1277	5/43182	1.0	10	0	1.0	1.0	
GO:0032329	BP	p	serine transport	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0019677	BP	p	NAD catabolic process	0/1277	3/43182	1.0	11	0	1.0	1.0	
GO:0099152	BP	p	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	0/1277	2/43182	1.0	10	0	1.0	1.0	
GO:0000732	BP	p	DNA strand displacement	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0060631	BP	p	regulation of meiosis I	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0061670	BP	p	evoked neurotransmitter secretion	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0038161	BP	p	prolactin signaling pathway	0/1277	3/43182	1.0	7	0	1.0	1.0	
GO:0071396	BP	p	cellular response to lipid	0/1277	4/43182	1.0	5	0	1.0	1.0	
GO:1990927	BP	p	calcium ion regulated lysosome exocytosis	0/1277	3/43182	1.0	9	0	1.0	1.0	
GO:0099575	BP	p	regulation of protein catabolic process at presynapse, modulating synaptic transmission	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0032682	BP	p	negative regulation of chemokine production	0/1277	8/43182	1.0	10	0	1.0	1.0	
GO:0140013	BP	p	meiotic nuclear division	0/1277	4/43182	1.0	7	0	1.0	1.0	
GO:0045050	BP	p	protein insertion into ER membrane by stop-transfer membrane-anchor sequence	0/1277	11/43182	1.0	9	0	1.0	1.0	
GO:0036315	BP	p	cellular response to sterol	0/1277	3/43182	1.0	6	0	1.0	1.0	
GO:0002268	BP	p	follicular dendritic cell differentiation	0/1277	2/43182	1.0	4	0	1.0	1.0	
GO:0030970	BP	p	retrograde protein transport, ER to cytosol	0/1277	16/43182	1.0	9	0	1.0	1.0	
GO:0042275	BP	p	error-free postreplication DNA repair	0/1277	1/43182	1.0	9	0	1.0	1.0	
GO:0006667	BP	p	sphinganine metabolic process	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0031118	BP	p	rRNA pseudouridine synthesis	0/1277	3/43182	1.0	11	0	1.0	1.0	
GO:2000358	BP	p	positive regulation of kidney smooth muscle cell differentiation	0/1277	1/43182	1.0	8	0	1.0	1.0	
GO:0000461	BP	p	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0/1277	1/43182	1.0	11	0	1.0	1.0	
GO:0033603	BP	p	positive regulation of dopamine secretion	0/1277	6/43182	1.0	9	0	1.0	1.0	
GO:0061921	BP	p	peptidyl-lysine propionylation	0/1277	1/43182	1.0	7	0	1.0	1.0	
GO:0035914	BP	p	skeletal muscle cell differentiation	1/1277	44/43182	1.0	4	1	1.0	1.0	3131
